時刻,番線,接近種別,路線A,直通・周り・経由他,種別A,愛称:A,号数:A,行先:A,ドア数,両数A,増解結&2列車有無,時刻:b,路線B,経由他,種別B,愛称:B,号数:b,行先:B,両数B,列・電,付帯:予告,付帯:接近,付帯:連呼・戸閉
7:10,3,0,,,各駅停車,,,新宿,,10,0,,,,,,,,,列車,,,
7:13,3,0,,,通勤快速,,,川越,,10,0,,,,,,,,,電車,,,
7:16,3,0,湘新宇都宮線,直通,普通,,,宇都宮,4つドア,15,0,,,,,,,,,列車,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,
7:27,3,0,,,各駅停車,,,川越,,10,0,,,,,,,,,列車,\n空白0.5秒\nこの電車は\n赤羽\nから\n通勤快速\n運転します,\n空白0.5秒\nこの電車は\n赤羽\nから\n通勤快速\n運転します,
7:34,3,0,湘新高崎線,直通,普通,,,籠原,4つドア,15,0,,,,,,,,,列車,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,
7:37,3,0,,,各駅停車,,,大宮,,10,0,,,,,,,,,電車,,,
7:40,3,0,,,,おはようライナー新宿,22号,新宿,,10,0,,,,,,,,,列車,\n空白0.5秒\nこの列車には\nご乗車になれません,\n空白0.5秒\nこの列車には\nご乗車になれません,\n空白0.5秒\nこの列車には\nご乗車になれません
7:44,3,0,,,通勤快速,,,川越,,10,0,,,,,,,,,電車,,,
7:48,3,0,,,各駅停車,,,武蔵浦和,,10,0,,,,,,,,,電車,,,
7:53,3,0,湘新宇都宮線,直通,普通,,,小金井,4つドア,15,0,,,,,,,,,列車,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,
7:56,3,0,,,各駅停車,,,大宮,,10,0,,,,,,,,,電車,,,
8:02,3,0,湘新高崎線,直通,普通,,,高崎,4つドア,15,2:前より,,,,,,,籠原,5,列車,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,
8:04,3,0,,,通勤快速,,,川越,,10,0,,,,,,,,,電車,,,
8:07,3,0,,,各駅停車,,,大宮,,10,0,,,,,,,,,電車,,,
8:11,3,0,湘新宇都宮線,直通,普通,,,宇都宮,4つドア,15,0,,,,,,,,,列車,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,
8:14,3,0,,,各駅停車,,,武蔵浦和,,10,,,,,,,,,,電車,,,
8:16,3,0,,,各駅停車,,,大宮,,10,,,,,,,,,,電車,,,
8:19,3,0,湘新高崎線,直通,普通,,,籠原,4つドア,15,0,,,,,,,,,列車,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,
8:22,3,0,,,通勤快速,,,川越,,10,,,,,,,,,,電車,,,
8:25,3,0,,,各駅停車,,,大宮,,10,,,,,,,,,,電車,,,
8:28,3,0,,,,おはようライナー新宿,24号,新宿,,10,0,,,,,,,,,列車,\n空白0.5秒\nこの列車には\nご乗車になれません,\n空白0.5秒\nこの列車には\nご乗車になれません,\n空白0.5秒\nこの列車には\nご乗車になれません
8:30,3,0,,,各駅停車,,,赤羽,,10,,,,,,,,,,電車,,,
8:32,3,0,湘新宇都宮線,直通,普通,,,小金井,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,
8:35,3,0,,,各駅停車,,,大宮,,10,,,,,,,,,,電車,,,
8:37,3,0,湘新高崎線,直通,普通,,,高崎,4つドア,15,2:前より,,,,,,,籠原,5,列車,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,
8:40,3,0,,,各駅停車,,,川越,,10,,,,,,,,,,電車,,,
8:42,3,0,,,各駅停車,,,武蔵浦和,,10,,,,,,,,,,電車,,,
8:47,3,0,湘新宇都宮線,直通,普通,,,小金井,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元の\nオレンジ色\n15両\n乗車口\n4号車と5号車で\nお待ちください,
8:50,3,0,,,各駅停車,,,大宮,,10,,,,,,,,,,電車,,,
8:53,3,0,,,各駅停車,,,赤羽,,10,,,,,,,,,,電車,,,
8:57,3,0,,,,おはようライナー新宿,26号,新宿,,10,0,,,,,,,,,列車,\n空白0.5秒\nこの列車には\nご乗車になれません,\n空白0.5秒\nこの列車には\nご乗車になれません,\n空白0.5秒\nこの列車には\nご乗車になれません
8:59,3,0,,,通勤快速,,,川越,,10,,,,,,,,,,電車,,,
